#   size (B)   time (ms)
        1024        22.7
        2048        23.4
        4096        22.7
        8192        22.5
       16384        22.6
       32768        22.6
       65536        72.2
      131072        72.3
      262144        75.8
      524288        95.8
     1048576        94.2
     2097152        97.9
     4194304       120.2
     8388608       181.6
    16777216       209.3
    33554432       210.4
