#   size (B)   time (ms)
        1024       228.6
        2048       229.7
        4096       227.6
        8192       227.5
       16384       229.9
       32768       228.5
       65536       233.5
      131072       233.4
      262144       235.3
      524288       237.8
     1048576       237.7
     2097152       239.4
     4194304       251.0
     8388608       271.1
    16777216       278.3
    33554432       276.6
