#   size (B)   time (ms)
        1024        19.2
        2048        19.1
        4096        18.8
        8192        18.9
       16384        18.8
       32768        18.5
       65536        72.7
      131072        72.8
      262144        85.2
      524288        96.4
     1048576        97.0
     2097152        97.8
     4194304       124.3
     8388608       182.5
    16777216       218.2
    33554432       216.9
