#   size (B)   time (ms)
        1024        19.1
        2048        18.7
        4096        18.5
        8192        18.6
       16384        19.7
       32768        18.7
       65536        72.7
      131072        72.7
      262144        80.5
      524288        96.8
     1048576        97.1
     2097152        97.3
     4194304       112.5
     8388608       181.5
    16777216       216.8
    33554432       217.8
